"","ID","ID2","Latitude","MAPavg","Year"
"1","S02","Sweetwater River",32.89928,41,2007
"2","S10","North Fork Middle Fork Tule",36.20081,110.5,2007
"3","S36","Deer Creek",42.27411,192,2007
"4","S02","Sweetwater River",32.89928,160.5,2008
"5","S10","North Fork Middle Fork Tule",36.20081,209,2008
"6","S36","Deer Creek",42.27411,321.5,2008
"7","S02","Sweetwater River",32.89928,79.5,2009
"8","S10","North Fork Middle Fork Tule",36.20081,120,2009
"9","S36","Deer Creek",42.27411,102,2009
"10","S02","Sweetwater River",32.89928,261,2010
"11","S10","North Fork Middle Fork Tule",36.20081,284,2010
"12","S36","Deer Creek",42.27411,334,2010
"13","S02","Sweetwater River",32.89928,40,2011
"14","S10","North Fork Middle Fork Tule",36.20081,53,2011
"15","S36","Deer Creek",42.27411,115.5,2011
"16","S02","Sweetwater River",32.89928,76.5,2012
"17","S10","North Fork Middle Fork Tule",36.20081,134,2012
"18","S36","Deer Creek",42.27411,382.5,2012
"19","S02","Sweetwater River",32.89928,48.5,2013
"20","S10","North Fork Middle Fork Tule",36.20081,36,2013
"21","S36","Deer Creek",42.27411,68,2013
"22","S02","Sweetwater River",32.89928,117.5,2014
"23","S10","North Fork Middle Fork Tule",36.20081,125.5,2014
"24","S36","Deer Creek",42.27411,189,2014
"25","S02","Sweetwater River",32.89928,44.5,2015
"26","S10","North Fork Middle Fork Tule",36.20081,93,2015
"27","S36","Deer Creek",42.27411,353.5,2015
"28","S02","Sweetwater River",32.89928,176.5,2016
"29","S10","North Fork Middle Fork Tule",36.20081,214.5,2016
"30","S36","Deer Creek",42.27411,402.5,2016
